,Commodity,Time,Country,Customs Value (Gen) ($US),Customs  Value (Cons) ($US),Dutiable Value ($US),Calculated Duty ($US),Customs Value (Cons) ($US),code,year,month
2050,"0709994500 Sweet Corn, Fresh Or Chilled (kg)",February 2018,China,0,"3,000",3000,639,3000,0709994500,2018,February
3120,"0811204030 Blackberries, Frozen (kg)",November 2018,China,0,"11,903",11903,2262,11903,0811204030,2018,November
4672,1301200000 Gum Arabic (kg),November 2018,China,0,"7,380",0,0,7380,1301200000,2018,November
4673,1301200000 Gum Arabic (kg),December 2018,China,0,"3,494",0,0,3494,1301200000,2018,December
6080,"1702901000 Sugrs/syrup,contn 6% Lt Non-sug Solid, Addtl Not 5 (kg)",January 2018,China,0,"49,534",49534,1529,49534,1702901000,2018,January
6081,"1702901000 Sugrs/syrup,contn 6% Lt Non-sug Solid, Addtl Not 5 (kg)",April 2018,China,0,"5,002",5002,157,5002,1702901000,2018,April
6224,"1806909090 Cocoa Preps, Nesoi, Not For Retail, Nesoi (kg)",November 2018,China,0,"40,731",40731,2444,40731,1806909090,2018,November
6600,"2002908040 Tomato Puree, In Containers Holding 1.4 Kg Or More (kg)",September 2018,China,0,"4,096",4096,885,4096,2002908040,2018,September
7529,"2009396020 Lemon Juice, Nesoi, Frozen (l)",February 2018,China,0,"241,713",241713,32856,241713,2009396020,2018,February
8198,2208700030 Liqueurs & Cordials In Cntrs Nt Over 4 Liters (pfl),October 2018,China,0,"7,157",0,0,7157,2208700030,2018,October
9281,"2710191600 Kerosene-type Jet Fuel, Not Cont Biodiesel, Nesoi (bbl)",October 2018,China,0,"2,840,700",2840700,15750,2840700,2710191600,2018,October
11112,2841903000 Potassium Stannate (kg),January 2018,China,0,"4,200",4200,130,4200,2841903000,2018,January
12881,"2909504050 Other Odoriferous Or Flavoring Compounds,nesoi (kg)",January 2018,China,0,"9,961",9961,478,9961,2909504050,2018,January
12891,"2909504050 Other Odoriferous Or Flavoring Compounds,nesoi (kg)",November 2018,China,0,"26,049",26049,3385,26049,2909504050,2018,November
12892,"2909504050 Other Odoriferous Or Flavoring Compounds,nesoi (kg)",December 2018,China,0,"16,031",16031,2373,16031,2909504050,2018,December
13439,"2914791000 2,3-dichloro-1,4-naphthoquinone And Other Art Musk (kg)",July 2018,China,0,"4,169",4169,229,4169,2914791000,2018,July
13443,"2914791000 2,3-dichloro-1,4-naphthoquinone And Other Art Musk (kg)",November 2018,China,0,"89,115",89115,4901,89115,2914791000,2018,November
14742,"2918290400 2,3-cresotic Acid; M-hydroxybenzoic Acid; Etc (kg)",January 2018,China,0,"32,240",32240,1869,32240,2918290400,2018,January
14747,"2918290400 2,3-cresotic Acid; M-hydroxybenzoic Acid; Etc (kg)",June 2018,China,0,"35,250",35250,2045,35250,2918290400,2018,June
14749,"2918290400 2,3-cresotic Acid; M-hydroxybenzoic Acid; Etc (kg)",August 2018,China,0,"79,985",79985,4639,79985,2918290400,2018,August
14943,"2918994700 Other Aromat Carboxy Acid With Add Oxy Funct, Etc (kg)",November 2018,China,0,"9,239",9239,601,9239,2918994700,2018,November
15244,2921426500 Aniline Deriv Etc Of Prod In Us Note3 To Sect 6 (kg),May 2018,China,0,"2,860",2860,186,2860,2921426500,2018,May
