,Commodity,Time,Country,Customs Value (Gen) ($US),Customs  Value (Cons) ($US),Dutiable Value ($US),Calculated Duty ($US),Customs Value (Cons) ($US),code,year,month
431,"0304590036 Freshwater Fish Meat, Fresh Or Chilled, Nesoi (kg)",October 2018,China,83304,,0,0,0,0304590036,2018,October
1531,"0409000035 Natural Honey, White, Not Organic Nt Pckgd Fr Retl (kg)",March 2018,China,162690,,0,0,0,0409000035,2018,March
1541,"0409000045 Natural Honey, Xlite Amber Nt Organic Nt Pckgd Rtl (kg)",March 2018,China,63104,,0,0,0,0409000045,2018,March
1869,"0603130060 Orchids Except Dendrobium, Fresh (no)",August 2018,China,26577,,0,0,0,0603130060,2018,August
1870,"0603130060 Orchids Except Dendrobium, Fresh (no)",September 2018,China,26577,,0,0,0,0603130060,2018,September
2047,"0709991400 Okra, Fresh Or Chilled (kg)",February 2018,China,7020,,0,0,0,0709991400,2018,February
2049,"0709994500 Sweet Corn, Fresh Or Chilled (kg)",January 2018,China,41280,,0,0,0,0709994500,2018,January
2051,"0709994500 Sweet Corn, Fresh Or Chilled (kg)",March 2018,China,20640,,0,0,0,0709994500,2018,March
2052,"0709994500 Sweet Corn, Fresh Or Chilled (kg)",May 2018,China,22320,,0,0,0,0709994500,2018,May
2053,"0709994500 Sweet Corn, Fresh Or Chilled (kg)",June 2018,China,13392,,0,0,0,0709994500,2018,June
2054,"0709994500 Sweet Corn, Fresh Or Chilled (kg)",August 2018,China,15345,,0,0,0,0709994500,2018,August
2055,"0709994500 Sweet Corn, Fresh Or Chilled (kg)",December 2018,China,36733,,0,0,0,0709994500,2018,December
3111,"0811202025 Raspberries, Red, Frozen, Uncooked/cooked In Water (kg)",June 2018,China,2985,,0,0,0,0811202025,2018,June
3264,"0901120025 Coffee, Decaffeinated, Not Organic, Not Roasted (kg)",May 2018,China,364846,,0,0,0,0901120025,2018,May
4666,1301200000 Gum Arabic (kg),May 2018,China,24458,,0,0,0,1301200000,2018,May
4669,1301200000 Gum Arabic (kg),August 2018,China,11093,,0,0,0,1301200000,2018,August
4989,1509102030 Cer Or Lb Ex Vrgn Olve Oil N/chem Mod Con Lt 18 Kg (kg),February 2018,China,146950,,0,0,0,1509102030,2018,February
5319,"1604143059 Tuna,albacore,not In Oil,airtight Container,nesoi (kg)",December 2018,China,812700,,0,0,0,1604143059,2018,December
5328,"1604143099 Other Tunas/skipjack,n/oil,airtight Container,neso (kg)",August 2018,China,55200,,0,0,0,1604143099,2018,August
5990,"1701913000 Cane/beet Sugar Refined Coloring/no Flavor, Nesoi (kg)",April 2018,China,130820,,0,0,0,1701913000,2018,April
